,correct,wrong
125,امروزه با تکنولوژی مردم کمتر کار می‌کنند بعد پول کمتری به دست می آورند .,امروزه با تکنولوژی مردم کمتر کار می‌کنند بعد پول کمتر به دست می‌آورد . برای خریدن کالاها، تکنولوژی جدید خیلی سخت است. مثلاً ماشین، یخچال، تلویزیون، ...
126,ولی زندگی همراه با تکنولوژی را دوست دارم دو طرفه است یک طرف ضرر دارد یک طرف مفید دارد. مفید است که زندگی همراه با تکنولوژی انجام هر کاری را ساده کرده است . مثلا برق، برق داریم که می توانیم در شب ما کار کنیم و هم درس بخوانیم . تلویزیون ما وقتی تلویزیون تماشا می‌کنیم که زودتر می‌توانیم بفهمیم در جهان چه خبر اتفاق افتاده است .,ولی زندگی همراه با تکنولوژی را دوست دارم دو تا طرف طرفه است یک طرفی طرف ضرر دارد یک طرف مفید دارد. مفید دارد است که زندگی همراه با تکنولوژی هر کار انجام انجام هر کاری را ساده است کرده است . مثلا برق، برق داریم که می‌توانستیم می توانیم در شب ما کار می‌کنیم کنیم و هم درس می‌کنیم بخوانیم . تلویزیون ما وقتی تلویزیون تماشا می‌کنیم که زودتر می‌توانیم بفهمیم در جهان چه خبر اتفاق می‌یافته‎است افتاده است .
127,زندگی هر سال با سال گذشته فرق زیادی دارد. شاید در آینده نزدیک، مردم بتوانند -15 در سیاره‌های دیگر زندگی کنند -16. من زندگی همراه با تکنولوژی را خیلی دوست دارم.,زندگی هر سال با سال گذشته فرق زیادی دارد. شاید در آینده نزدیک، مردم می‌تواند -15 به سیاره‌های دیگر زندگی می‌کند -16. من زندگی همراه با تکنولوژی خیلی دوست دارم.
128,در خانه ماشین لباس‌شویی ... وجود دارد که زندگی مردم را راحت‌تر می‌کند. بدی‌ها = قبلاً جنگ‌ها خیلی طول می‌کشید ولی الان به خاطر تکنولوژی جنگ‌ها زود تمام می‌شود و کمتر آدم‌ها را می‌کشد. وسایل تکنولوژی در کارگاه استفاده می شوند -۱۵ و هوا را آلوده می کنند .,در خانه ماشین لباس‌شویی ... دارد زندگی مردم راحت‌تر می‌کند. بدی‌ها = قبلاً جنگ‌ها خیلی طول می‌کشید ولی الان به خاطر تکنولوژی جنگ‌ها زود تمام می‌شود و زیاد آدم‌ها را می‌کشد. وسایل تکنولوژی در کارگاه استفاده می‌کند -۱۵ هوا را آلوده می‌کند .
129,برای مردم ما تکنولوژی حتماً لازم دارند . بدون تکنولوژی همه زندگی خیلی سختی خواهند داشت . چون من تکنولوژی را دوست دارم این خیلی در زندگی من مهم است. وقتی من لباس می‌شویم، من لباسشویی استفاده می‌کنم. اگر لباسشویی نداشته باشم ، من زیاد وقت زیادی فقط برای لباس شستن استفاده می‌کنم. من اوقات فراغت ندارم، فقط کار زیاد دارم. وقتی به کره تلفن می‌زنم، من اینترنت استفاده می‌کنم این خیلی راحت است. برای این زندگی تکنولوژی باید باشد.,برای مردم ما تکنولوژی حتماً لازم داریند . بدون تکنولوژی همه زندگی خیلی سخته دارد . چون من تکنولوژی را دوست دارم این خیلی در زندگی من مهم است. وقتی من لباس را می‌شویم، من لباسشویی استفاده می‌کنم. اگر لباسشویی ندارد نداشته باشم ، من زیاد زیادی وقت وقت زیادی فقط برای لباس شستن استفاده می‌کنم. برای من اوقات فراغت ندارم، فقط کار زیاد دارم. وقتی به کره تلفن می‌زنم، هم من اینترنت استفاده می‌کنم این خیلی راحت است. برای این زندگی تکنولوژی باید لازم داشته باشد.
130,در شهرم خیلی خوشحال هستم. هوا هم خوب است. بنابراین مردم در رفاه هستند . شهر کنار کوه‌ها قرار دارد. شمال مرکز شهر است. مرکز شهر فروشگاه بزرگ دارد و بازار به وجود آمده است شمال شهر خانه‌ها جدید هستند. جنوب خانه‌ها خیلی قدیمی هستند.,شهرم خیلی خوشحال هستم. هوا هم خوب است. بنابراین مردم رفاه بود . شهر کنار کوه‌ها دارد. شمال مرکز شهر است. مرکز شهر فروشگاه بزرگ دارد و بازار به وجود آوردند شمال شهر خانه‌ها جدید هستند. جنوب خانه‌ها خیلی قدیمی هستند.
131,اسم شهرم shi jia zhuang است. این شهر در شمال چین قرار دارد آن بزرگ و قدیمی نیست. در اینجا تعدادی کارخانه وجود دارد بنابراین هوا خیلی آلوده است. راهها تودرتو هستند. معمولاً مردم برای رفت و آمد از تاکسی، ماشین، اتوبوس و مترو استفاده می‌کنند. در این شهر، کالاها گران نیست ولی قیمت خانه‌ها خیلی گران است . مرکزهای خرید و بازار وجود دارد در تعطیلات مردم دوست دارند خرید کنند.,اسم شهرم shi jia zhuang است. این شهر در شمال چین قرار دارد او بزرگ و قدیمی نیست. جمعیت پنج میلیون زیاد است. به خاطر در اینجا تعداد تعدادی کارخانه وجود دارند دارد بنابراین هوا خیلی آلوده است. راهها تودرتو هستند. معمولاً مردم برای رفت و آمد از تاکسی، ماشین، اتوبوس و مترو استفاده می‌کنند. در این شهر، کالاها گران نیست ولی قیمت خانه‌ها خیلی گران است . مرکزهای خرید خرید و بازارها بازار وجود دارند دارد در تعطیلات مردم دوست دارند خرید کنند.
132,2. سیمرغ صفت‌هایی دارد که مورد علاقه‎ی آدمهاست. قدرت، بزرگی، پاکی، ؟؟ مهربانی و جاودانگی.,2. سیمرغ صفت‌هایی دارد که مورد علاقه‎ی آدمهاست. قدرت، بزرگی، پاکی، ؟؟ مهربانی ، جاودانگی.
133,شهر من نیویورک است. آن یک شهر بزرگ است و امکانات زیادی دارد مثل مترو، مرکزهای تجاری، تاکسی و غیره. جمعیت نیویورک 10 میلیون نفر است. نیویورک جای زیبایی است و برای جهانگردان خیلی جالب است. می‎توانی آدم از هر جای دنیا در آن جا ببینی . نیویورک خیلی جاهای دیدنی دارد مثل مجسمه آزادی، خیابان ؟؟ و ساختمان امپایر استیت.,شهر من نیویورک است. آن یک شهر بزرگ است و امکانات زیادی دارد مثل مترو، مرکزهای تجاری، تاکسی و غیره. جمعیت نیویورک 10 میلیون آدم است. نیویورک جای زیبایی است و برای جهانگردان خیلی جالب است. می‎توانی آدم از هر جای دنیا در آن جا ببینید . نیویورک خیلی جاهای دیدنی دارد مثل مجمسه آزادی، خیابان ؟؟ و ساختمان امپایر استیت.
134,شهر من پایتخت جمهوری اسلواکی است. اسم آن براتیسلوا است. شهری نزدیک پایتخت اتریش وجود دارد. در واقع فقط 6 کیلومتر تا مرز فاصله داریم . از دیدنی‌های شهر من کاخ قدیم بالای رود دانوب مشهور است. آدم ها می‌توانند از کاخ توی کشور دیگر را ببینند. شهر من بزرگ نیست: جمعیت آن فقط چهارصد هزار نفر است . مردم بیشتر در صنعت در اداره‌ها، در مدرسه‌ها کار می‌کنند. دانشگاه های زیادی در آنجا وجود دارد . در تابستان شهر خالی‌تر می‌شود. هم‌وطنان من ترجیح می‌دهند در اوقات فراغتشان بیرون از شهر بروند. آنها دوست دارند در کوهستان مسافرت کنند .,شهر من پایتخت جمهوریه اسلکواکی است. اسم آن براتیسلوا است. شهری نزدیک پایتخت اتریش وجود دارد. در واقع فقط 6 کیلومتر تا مرز زندگی می‌کنیم . از دیدنی‌های شهر من کاخ قدیم بالای رود دانوب مهم‌تر است. آدم ها می‌توانند از کاخ توی کشور دیگر ببینند. شهر من بزرگ نیست: جمعیت آن فقط چهارصد هزار نفر دارد . مردم بیشتر در صنعت در اداره‌ها، در مدرسه‌ها کار می‌کنند. زیادی دانشگاه‌ها در آنجا وجود دارند . غیر از تابستان شهر من بیشتر (جوانتر) جوان می‌شود، چون زیادی دانشجوها در آنجا یاد می‌گیرند. در تابستان شهر خالی‌تر می‌شود. هم‌کشوری هم‌وطنان من ترجیح می‌دهند در اوقات فراغتشان بیرون از شهر بروند. آنها دوست دارند در کوهستان مسافرت می‌کنند کنند .
135,شهر من مسکو است. مسکو پرجمعیت و پایتخت روسیه است. شهر من 866 سال قدمت دارد. در مسکو سالن‌های تئاتر بسیاری وجود دارد. هوا در شهر آلوده است. زمستان سرد و تابستان گرم است. در تهران هوا خشک است اما در مسکو مرطوب است. همیشه به غیر از روزهای تعطیل شلوغ است. در مسکو غذاهای مختلف می‌فروشند، مثل غذاهای ؟؟ و غذاهای فرنگی. در شهر من رستوران های بسیار وجود دارد. بعضی از آنها لوکس است و قیمتشان گران است. در شهر برای رفت و آمد اتوبوس و مترو و تاکسی وجود دارد. در مسکو در سال 2010 جمعیت 11 میلیون نفر بود تعداد جهانگردانی که هر سال به مسکو مسافرت می‌کنند هر سال زیاد می‌شود.,شهر من مسکو است. مسکو جمعیت‌ترین و پایتخت روسیه است. شهر من 866 سال قدمت دارد. در مسکو بسیار سالن‌ها تئاتر وجود دارد. هوا در شهر آلوده است. زمستون سرد و تابستون گرم است. در تهران هوا خشک است اما در مسکو مرطوب است. خیلی‌ها همیشه به غیر از روزهای تعطیل شلوغ است. در مسکو غذاهای مختلف می‌فروشند، مثل غذاهای ؟؟ و غذاهای فرنگی. در شهر من بسیار رستوران‌ها رستوران های بسیار وجود دارد. بعضی از آنها لوکس است و قیمت قیمتشان گرون گران است. در شهر برای رفت و آمد اتوبوس و مترو ، و تاکسی وجود دارد. در مسکو در سال 2010 جمعیت 11 میلیون نفر بود تعداد جهانگردانی که هر سال به مسکو مسافرت می‌کنند هر سال زیاد می‌شود.
136,شهر من لاگونا است آنجا هوا خیلی گرم است. میوه میوه های مختلف هم خیلی زیاد دارد مردم برای رفت و آمد می‌توانند از اتوبوس مترو ؟؟ استفاده کنند. به نظر من تکنولوژی بر زندگی مردم یک کم خوب ... .,شهر من لاگونا است آنجا هوا خیلی گرم است. مختلف میوه مختلف هم خیلی زیاد مردم‌ها برای رفت و آمد می‌توانند اتوبوس مترو ؟؟ استاده کنند. به نظر من تکنولوژی بر زندگی مردم یک کم خوب .
137,شهر من اُپسالا است. این شهر در تابستان بسیار زیبا است. صدو پنجاه هزار نفر در اُپسالا زندگی می‌کنند. این شهر یک دانشگاه بزرگ دارد که سی و چهار هزار شاگرد دارد. یکی از رشته‌ها در این دانشگاه زبان فارسی است. معلم ها ی ما که زبان فارسی درس می‌دهند بسیار خوب هستند. با دوچرخه سواری من می توانم به همه جا اُپسالا بروم. اُپسالا یک رودخانه دارد و اسم این رودخانه فیریسان است و آن اُپسالا را به دو قسمت تقسیم می‌کند. بزرگترین کلیسای سوئد در مرکز اُسپالا قرار دارد، اسم این کلیسا دمکرکن است و بیشتر از هفت صد سال پیش ساخته شده است .,شهر من اُپسالا است. این شهر در تابستان بسیار زیبا است. صدو پنجاه هزار نفر در اُپسالا زندگی می‌کنند. این شهر یک دانشگاه بزرگی دارد که سی و چهار هزار شاگردان دارد. یکی از رشته‌ها در این دانشگاه زبان فارسی است. معلم ما که زبان فارسی درس می‌دهند بسیار خوب هستند. با دوچرخه سواری من می‌تونم به همه جا اُپسالا بروم. اُپسالا یک رودخانه دارد و اسم این رودخانه فیریسان است و او اُپسالا در این دو قسمت تقسیم می‌کند. بزرگترین کلیسا سوئد در مرکز اُسپالا و خود دارد، اسم این کلیسا دمکرکن است و بیشتر از هفت صد سال پیش ساخته ‎بود .
138,من تکنولوژی را خیلی قبول دارم به خاطر این که مصرف تکنولوژی در کار ها من زیاد است . برای میکس کردن دستگاه دی جی و کامپیوتر و رادیو استفاده می‌کنم خوبی با تکنولوژی هنر را به جای آوردن آن است که که پیشرفتش با هنر قدیم خیلی فرق دارد و کارهایی که می‌توانیم انجام بدهیم از سازهای معمولی امکاناتشان زیادتر است.,من تکنولوژی را خیلی قبول دارم به خاطر این که مصرف تکنولوژی درباره کارا م زیاد استفاده می‌کنم . برای میکس کردن دستگاه دی جی و کامپیوتر رادیو استفاده می‌کنم خوبی با تکنولوژی هنر را به جای آورد که پیشرفتش با هنر قدیم خیلی فرق دارد و کارهای که می‌توانیم انجام بدهیم از سازهای معمولی امکاناتشان زیادتر است.
139,امروز تکنولوژی بر زندگی مردم خیلی مهم است و در زندگی مردم موثر است، مثلاً از آب و برق هر روز آنها استفاده می‌کنند چون خیلی سخت است در گذشته مادرها صبح به جایی که آب خوردن بود می‌‌رفتند و آب می‌گیرند یا برای تمیز کردن لباس با دست تمیز می‌کردند. بنابراین خیلی سخت بود. الان ماشین لباس‎شویی است. امروزه وقتی که مردم از تکنولوژی ها استفاده می‌کنند خوب نیست چون مثلاً چند ساعت تلویزیون تماشا می‌کنند و هیچ کار دیگری نمی توانند انجام دهند .,امروز تکنولوژی بر زندگی مردم خیلی مهم است و در زندگی مردم است، مثلاً از آب و برق هر روز آنها را استفاده می‌کنند چون خیلی سخت است در گذشته مادرها صبح به جایی که آب خوردن بود می‌‌رفتند و آب می‌گیرند یا برای تمیز کردن لباس با دست تمیز می‌کردند. بنابراین خیی خیلی سخته سخت بود. الان ماشین لباس‎شویی است. امروزی امروزه وقتی که مردم از تکنولوژی‌های تکنولوژی ها استفاده می‌کنند خوب نیست چون مثلاً چند ساعت تلویزیون تماشا می‌کنند و هیچ کار دیگه دیگری نمی‌تونند نمی توانند درست کنند انجام دهند .
140,من زندگی همراه با تکنولوژی را دوست دارم، بیشتر کامپیوتر و اینترنت استفاده می‌کنم چون می‌توانم با اسکایپ با خواهرم و دوستم فرانسوی صحبت کنم. برای من خیلی مهم است.,من زندگی همراه تکنولوژی دوست دارم، بیشتر کامپیوتر یا اینترنت استفاده می‌کنم چون می‌توانم با اسکایپ با خواهرم و دوستم فرانسوی صحبت کنم. برای من خیلی مهم است.
141,پکن پرجمعیت‌ترین شهر چین است و پایتخت آن است. جمعیت نزدیک بیست و چهار میلیون نفر است حالا در این شهر هوا خیلی آلوده است، چون در شهر ماشین خیلی زیاد است و در بیرون شهر کارخانه هم زیاد هست بنابراین مردم در آنجا رفاه کمتر دارند. در پکن خیابان‌ها به غیر از روزهای تعطیل همیشه خیلی شلوغ هستند هر روز صبح زود مردم بیدار می‌شوند و بعد از صبحانه به سر کار می‌روند. در هر محله چند بازار روز میوه وجود دارد و در آنجا سبزی، میوه، گوشت و ... دارد در آنجا سبزی ارزان‌تر از دیگر فروشگاه‌ها ‌ است. کاخ انمن یکی از آنها و مشهورترین است. در اوقات فراغت مردم یکی دوست دارند ورزش کردن به پارک بروند. کودکان دوست دارند ساز بزنند در تابستان مردم همیشه با ماشین خود به بیرون شهر می‌روند. کتابخانه در همه جای شهر هست و مردم خیلی دوست دارند کتاب بخوانند. هر سال مردم منطقه‌های مختلف به پکن مسافرت می‌کنند.,پکن پرجمعیت‌ترین شهر چین است و پایتخت آن است. جمعیت نزدیک بیست و چهار میلیون نفر است حالا در این شهر هوا خیلی آلوده است، چون در شهر ماشین خیلی زیادی دارد و در بیرون شهر کارخانه هم زیادی هستند بنابراین مردم در آنجا رفاه کمتر دارند. در پکن خیابان‌ها به غیر از روزهای تعطیل همیشه خیلی شلوغ هستند هر روز صبح زود مردم خیلی تند بیدار می‌شوند و بعد از صبحانه به سر کار می‌روند. در هر محله چند بازار روز میوه دارد وجود دارد و در آنجا سبزی، میوه، گوشت و ... دارد در آنجا سبزی ارزان‌تر از دیگر فروشی‌ها فروشگاه‌ها ‌ است. بیشتر مرکز تجارت و دانشگاه مشهور و بزرگ هم در این شهر هستند. آنجا خیلی زیادی کاخ دارد. کاخ انمن یکی از آنها و مشهورترین است. در اوقات فراغت مردم یکی دوست دارند ورزش کردن به پارک بروند. کودکان دوست دارند سازی ساز بزنند در تابستان مردم همیشه با ماشین خود به بیرون شهر می‌روند. کتابخانه در همه جای شهر دارد و مردم خیلی دوست دارند کتاب بخوانند. هر سال مردم منطقه‌های مختلف به پکن مسافرت می‌کنند.
142,امروزه تکنولوژی خیلی پیشرفت کرده است}. مثلاً انسان ها نمی‌توانند، به غیر از مترو یا اتوبوس یا ماشین یا هواپیما، به جای دورتر بروند. با تکنولوژی کارهای مردم کمتر می‌شود و وقت‌شان بیشتر می‌شود. وقتی اوقات فراغت دارند، با کامپیوتر و اینترنت کار می‌کنند. همین مردم امروزی همیشه با تکنولوژی زندگی می‌کنند. نتیجه ، ما نمی توانیم بدون تکنولوژی زندگی بکنیم، حتی نمی‌توانیم چیزهای آسان را خودمان انجام دهیم . مردم همیشه با ماشین سوار می‌شوند و زیاد راه نمی روند ، برای سلامتی مردم خوب نیست. به جای انسان، تکنولوژی کار می‌کند، مردم فراموش کردند که خودشان حرکت کنند و فکر کنند .,امروزه تکنولوژی خیلی پیشرفت می‌کند }. مثلاً انسان نمی‌توانند، به غیر از مترو یا اتوبوس یا ماشین یا هواپیما، به جای دورتر بروند. برای تکنولوژی کارهای مردم کمتر می‌شود و وقت‌شان بیشتر می‌شود. وقتی اوقات فراغت دارند، با کامپیوتر و اینترنت می‌کنند. همین مردم امروزی همیشه با تکنولوژی زندگی می‌کنند. به نتیجه‌ی نتیجه ، ما نمی‌توانسته‌شدیم نمی توانیم بدون تکنولوژی زندگی بکنیم، حتی نمی‌توانیم چیزهای آسان را خودمان بکنیم انجام دهیم . مردم همیشه با ماشین سوار می‌شوند و زیاد راه نمی‌کنند نمی روند ، برای سلامتی مردم خوب نیست. به جای انسان، تکنولوژی کار می‌کند، مردم فراموش کردند که خودشان حرکت می‌کنند کنند و فکر می‌کنند کنند .
143,به خاطر این زندگی همراه با تکنولوژی را دوست دارم و راحت است. اما فکر می‌کنم برای انسان ها مهم است که خودشان تصمیم بگیرند تکنولوژی دورشان مناسب است یا نیست.,به خاطر زندگی همراه با تکنولوژی را دوست دارم و راحت است. اما فکر می‌کنم برای انسان مهم است که خودشان تصمیم می‌بگیرند تکنولوژی دورشان مناسب است یا نیست.
144,شهر من در کشور چین استان شاشه است. این شهرستان بسیار زیبا است. شهر من تقریباً سه میلیون جمعیت دارد . در شمال شهر من یک میدان بزرگ} وجود دارد . این میدان شهرستان نسبت به میدان شهر پکن کوچک است. در کنار خیابان درخت و گل وجود دارد . در جنوب شهرستان یک کوه بزرگ است . تقریباً هزار و سیصد متر است . دوستان همیشه در هر تعطیلات به کوه می روند و ورزش می کنند . در شهرستان مردم هر روز با دوچرخه یا تاکسی یا اتوبوس به سر کار می روند کار می کنند. کرایه خیلی خوب است. کرایه تاکسی تقریباً 2 تومان بود. دیگر شهرها ، 15 تومان تا بیست تومان بود. در این شهر ماشین زیاد نیست بنابراین آلوده نیست. شهرستان را خیلی دوست دارم. امیدوارم معلم یا هم کلاسها در تعطیلات به شهر من سفر کنند .,شهر من در کشور چین استان شاشه است. این شهرستان بسیار زیبا است. شهر من درباره‌ی اسطوره‌ها و انسانها زیاد بود. شهر من تقریباً سه میلیون جمعیت داریم دارد . این شهر در چین کوچکتر بود. در شهر من شمال شمال شهر من یک بزرگ میدان میدان بزرگ}دارد وجود دارد . این میدان شهرستان نسبت به میدان شهر پکن کوچکی کوچک است. در خیابان کنار کنار خیابان درخت و گل دارد وجود دارد . در شهرستان جنوب جنوب شهرستان یک کوه بزرگ دارد است . تقریباً هزار و سه صد سیصد و متر بود است . دوستان همیشه در هر تعطیلات به کوه می روند و ورزش می‌کند می کنند . در شهرستان مردم هر روز با دوچرخه یا تاکسی یا اتوبوس به شرکت سر کار می روند کار می کنند. کرایه خیلی خوب است. تاکسی کرایه کرایه تاکسی تقریباً 2 تومن تومان بود. دیگر شهر شهرها ، 15 تومن تومان تا بیست تومن تومان بود. در این شهر ماشین زیاد نیست بنابراین آلوده نیست. شهرستان را خیلی دوست دارم. امیدوارم معلم یا هم کلاسها در تعطیلات به شهر من سفر می‌کنند کنند .
145,از تکنولوژی جهت دریافت اطلاعات استفاده می‌کنند. هم چنین در ارتباط با دیگران در کشور یا خارج از کشور هم مفید است. تکنولوژی در صرفه‌جویی در زمان و پول و تلاش موثر است. در تجارت بین‌المللی از تکنولوژی هم استفاده می کنند . برای ارسال عکس و ویدئو، به بستگان در کشور خارج استفاده می کنند . هم چنین جهت انتشار اندیشه‌های شخصی و عقاید و نظرات دیگران و در یاد گرفتن آنها موثر است.,از تکنولوژی جهت دریافت اطلاعات استفاده می‌کنند. هم چنین در ارتباط با دیگران در کشور یا خارج از کشور هم مفید است. تکنولوژی در صرفه‌جویی در زمان و پول و تلاش موثر است. در تجارت بین‌المللی از تکنولوژی هم استفاده می‌کنید . برای با ارسال عکس و ویدئو، به بستگان در کشور خارج از کشور استفاده می‌کنید . هم چنین جهت انتشار اندیشه‌های شخصی و عقاید و نظرات دیگران و در یاد گرفتن آنها موثر است.
146,تکنولوژی چه چیزی است؟ همه نوع وسایل الکترونیک که از برنامه کامپیوتری استفاده می‌کند؟ نمی‌دانم. ولی آن چیزی را که بیشتر مردم از تکنولوژی می‌فهمند، با وسایل ارتباطات و رایانه‌ها رابطه دارد انسان جدید یک رایانه داخل جیبش می‌برد. اگر بعضی وسایل ارتباطات را با خودش نیاورد خیلی نگران می‌شود. تکنولوژی نه خوب و نه بد است. دستگاه یا برنامه کامپیوتری احساس ندارند. این است که تکنولوژی جدا به انسان بستگی دارد. فعلاً تکنولوژی بسیار در زندگی‌مان وجود دارد. می‌توانم بگویم تکنولوژی را دوست ندارم. ولی این مهم نیست. من مانند دیگران لازم دارم با دوستان و خانواده‌ام ارتباط داشته باشم و نباید انسان با وسایل ارتباطات جدید بعضی چیزها را کم کرده باشد.,تکنولوژی چه چیزی است؟ همه نوع وسایل الکترونیک که از برنامه کامپیوتری استفاده می‌کند؟ نمی‌دانم. ولی آن را که بیشتر مردم برای تکنولوژی می‌فهمند، با وسایل ارتباطات و رایانه‌ها رابطه دارد انسان جدید یک رایانه داخل جیبش می‌برد. اگر بعضی وسایل ارتباطات را با خودش نیاورد خیلی نگران می‌شود. تکنولوژی نه خوب نه بد است. دستگاه یا برنامه کامپیوتری احساس ندارند. این است که تکنولوژی جدا از انسان بستگی دارد. فعلاً تکنولوژی بسیار جای زندگی‌مان وجود دارد. می‌توانم بگویم تکنولوژی را دوست ندارم. ولی این مهم نیست. من و مانند دیگران لازم دارم با دوستان و خانواده‌ام ارتباط داشته باشم و نباید انسان با وسایل ارتباطات جدید بعضی چیزهی چیزها را کم کرده باشد.
147,خوب، الان درباره شهرم ... بارسلون. بارسلون خیلی کوچک‌تر از تهران است، کنار دریا و بین دو صخره قرار دارد . دو تا مرز طبیعی دارد . در شمال رودخانه «بساز» و در جنوب رودخانه «لبرقت» است . هوا خیلی خوب است، نه گرم و نه سرد است . مثلاً من در خانه‌ام گیاه مختلف می کاشتم قبل از آمدن به ایران سبزی گوناگون ... ... نمی‌دانم اسم آن چه چیزی است، آن خیلی کوچک است که روی خاک گذاشته می‌شود و بعد یک گیاه به دنیا می‌آید.,خوب، الان درباره شهرم ... بارسلون. بارسلون خیلی کوچک‌تر از تهران است، کنار دریا و بین دو صخره قرار داره . دو تا مرز طبیعی داره . در شمال رودخانه «بساز» و در جنوب رودخانه «لبرقت» . هوا خیلی خوب است، نه گرم و نه سرد . مثلاً من در خانه‌ام سال گیاه مختلف می‌کاشم می کاشتم قبل از آمدن به ایران سبزی گوناگون ... ... نمی‌دانم اسم آن چه چیزی است، آن را خیلی کوچک که روی خاک گذاشته می‌شود و بعد یک گیاه به دنیا می‌آید.
148,من در پکن زندگی می‌کنم. پکن مرکز کشورم است. هم مرکز سیاسی و اقتصادی است ترافیک شهر خیلی شلوغ است اگر شما ساعت 9 باید سرکار باشید باید ساعت 8 بیدار شوی، با مترو به سر کار بروی شهر پکن 12 تا منطقه دارد . نزدیک مرکز شهر مردم خیلی پول دارند، به سمت شمال شهر بیشتر دانشگاه های مشهور در آنجا قرار دارند مثلاً: دانشگاه چین هو، دانشگاه پکن. به سمت شرق مرکز تجارت است، و کشورها در آنجا خریدو فروش می‌کنند به سمت جنوب این قسمت بیشتر مردم در آنجا زندگی می‌کنند چرا؟ چون آنجا آب و پارک زیاد است و ... شهر پکن و تهران در روزهای تعطیل فرق دارند در پکن شنبه و یکشنبه تعطیل هستند در پکن چیزها خیلی گران است ، اگر حقوق شما زیاد نیست فکر می‌کنم شما زنده نمی‌مانید . درباره ترافیک: اگر شما ماشین رانندگی می‌کنی، شما نمی‌توانی شراب بخوری چون پلیس اجازه نمی دهد .,من در پکن زندگی می‌کنم. پکن مرکز کشورم است. هم مرکز سیاسی و اقتصادی جلسه ترافیک شهر یکی خیلی شلوغ است اگر شما ساعت 9 باید سرکار می‌کنی باشید باید ساعت 8 بیدار شوی، با مترو به شرکت سر کار می‌ری بروی شهر پکن 12 تا منطقه قرار می‌دهند دارد . نزدیک مرکز شهر مردم خیلی پول دارند، به سمت شمال شهر بیشتر دانشگاه دانشگاه های مشهور در آنجا قرار می‌دهند دارند مثلاً: دانشگاه چین هو، دانشگاه پکن. به سمت شرق مرکز تجارت است، کشورها و کشورها در آنجا خریدو فروش می‌کنند به سمت جنوب این قسمت بیشتر مردم در آنجا زندگی می‌کنند چرا؟ چون آنجا آب و پارک زیاد است و هوای خوب‌ترین ... شهر پکن و تهران در روزهای تعطیل فرق دارند در پکن شنبه و یکشنبه تعطیل هستند در پکن چیزها خیلی گرونه گران است ، اگر حقوق شما زیاد نیست فکر می‌کنم شما زنده نمی‌ماند نمی‌مانید . درباره ترافیک: اگر شما ماشین شما را رانندگی می‌کنی، شما نمی‌توانی شراب بخوری چون پلیس اجازه نداده نمی دهد . آخر من خوشامد همه مردم به شهر پکن برای سفر میاید.
149,تکنولوژی تاثیر زیادی بر زندگی مردم دارد. بدون تکنولوژی زندگی ما مثل زمان قدیم بود، مردم تکنولوژی را دوست دارند، چون زندگی با تکنولوژی آسان تر است. ما هر روز از دستگاه‌های جدید استفاده می‌کنیم، مثلاً: کامپیوتر، تلویزیون، ماشین لباسشویی و تلفن همراه من هم تکنولوژی را دوست دارم، و هم همه چیزهای جدید. به نظر من پیشرفت تکنولوژی برای مردم مهم است. زندگی ما بهتر می‌شود. درباره ی دنیا ما بیشتر می‌دانیم. ولی زندگی ما سریع‌تر می‌شود، وقت کمتر داریم، این تاثیر بدی است. مردم در زمان قدیم بعد از کارشان به خانه می رفتند و با خانواده استراحت می کردند . ولی الان ما کار زیادی داریم و برای خانواده وقت نداریم یا با کامپیوتر وقت مان را پر می‌کنیم. تکنولوژی برای زندگی مردم خوب یا بد است؟ این سوال خیلی سخت است، چون این بستگی دارد. به نظر من برای سالمتر ... بهتر است ولی بدون داروی جدید بد بود. پیشرفت تکنولوژی ... بوده‎است و خواهد بود، مهم است چطور ما از این استفاده می‌کنیم.,تکنولوژی زیاد تاثیری بر زندگی مردم دارد. بدون تکنولوژی زندگی ما مثل زمان قدیم بود، مردم تکنولوژی دوست دارند، چون زندگی با تکنولوژی آسان تر است. ما هر روز از دستگاه‌های جدید استفاده می‌کنیم، مثلاً: کامپیوتر، تلویزیون، ماشین لباسشویی و تلفن همراه من هم تکنولوژی دوست دارم، هم همه چیزهای جدید. به نظر من پیشرفت تکنولوژی برای مردم مهم است. زندگی ما بهتر می‌شود. درباره ی دنیا و ما بیشتر می‌دانیم. ولی زندگی ما سریع‌تر می‌شود، وقت کمتر داریم، این بدی تاثیر تاثیر بدی است. مردم در زمان قدیم بعد از کارشان به خانه رفتند می رفتند و با خانواده استراحت کردند می کردند . ولی الان ما کار زیادی داریم چون برای خانواده وقت نداریم یا با کامپیوتر وقت ما مان پر می‌کنیم. تکنولوژی برای زندگی مردم خوب یا بد است؟ این سوال خیلی سخت است، چون این بستگی دارد. به نظر من برای سالمتر ... بهتر است ولی بدون داروی جدید بدی بد بود. پیشرفت تکنولوژی ... بوده‎است و خواهد بود، مهم است چطور ما با از این استفاده می‌کنیم.
